ID	stim_file	start_vol	end_vol
sub-control011	16_H19_combined_small.mp4	340	351
sub-control011	17_Trick37_combined_small.mp4	216	238
sub-control011	18_Trick4_combined_small.mp4	968	991
sub-control011	19_H17_combined_small.mp4	397	420
sub-control011	20_Trick20_short_combined_small.mp4	880	892
sub-control011	21_S15_combined_small.mp4	751	766
sub-control011	22_K18_combined_small.mp4	282	292
sub-control011	23_K10_combined_small.mp4	4	15
sub-control011	24_Trick28_combined_small.mp4	586	606
sub-control011	25_S25_combined_small.mp4	814	840
sub-control011	26_S30_combined_small.mp4	1044	1056
sub-control011	27_S31_combined_small.mp4	465	475
sub-control011	28_K24_combined_small.mp4	255	266
sub-control011	29_H36_combined_small.mp4	621	638
sub-control011	30_H15_combined_small.mp4	554	569
sub-control011	31_K3_combined_small.mp4	310	322
sub-control011	32_K16_short_combined_small.mp4	156	171
sub-control011	33_S21_combined_small.mp4	855	865
sub-control011	34_Trick38_combined_small.mp4	687	700
sub-control011	35_Trick32_long_combined_small.mp4	1006	1029
sub-control011	36_Trick7_short_combined_small.mp4	131	141
sub-control013	01_H35_combined_small.mp4	70	88
sub-control013	02_H10_combined_small.mp4	194	209
sub-control013	03_H16_combined_small.mp4	317	333
sub-control013	04_S9_combined_small.mp4	501	516
sub-control013	05_K4_combined_small.mp4	682	697
sub-control013	06_H7_combined_small.mp4	1110	1126
sub-control013	07_K2_combined_small.mp4	166	179
sub-control013	08_S12_combined_small.mp4	893	913
sub-control013	09_S11_combined_small.mp4	780	791
sub-control013	10_S27_combined_small.mp4	809	824
sub-control013	11_K21_long_combined_small.mp4	4	25
sub-control013	12_H37_combined_small.mp4	431	445
sub-control013	13_Trick6_short_combined_small.mp4	1046	1064
sub-control013	14_K19_long_combined_small.mp4	954	969
sub-control013	15_S18_combined_small.mp4	255	270
sub-control013	16_H19_combined_small.mp4	596	607
sub-control013	17_Trick37_combined_small.mp4	712	734
sub-control013	18_Trick4_combined_small.mp4	532	555
sub-control013	19_H17_combined_small.mp4	460	483
sub-control013	20_Trick20_short_combined_small.mp4	1082	1094
sub-control013	21_S15_combined_small.mp4	624	639
sub-control013	22_K18_combined_small.mp4	867	877
sub-control013	23_K10_combined_small.mp4	570	581
sub-control013	24_Trick28_combined_small.mp4	131	151
sub-control013	25_S25_combined_small.mp4	389	415
sub-control013	26_S30_combined_small.mp4	986	998
sub-control013	27_S31_combined_small.mp4	929	939
sub-control013	28_K24_combined_small.mp4	41	52
sub-control013	29_H36_combined_small.mp4	1013	1030
sub-control013	30_H15_combined_small.mp4	285	300
sub-control013	31_K3_combined_small.mp4	750	762
sub-control013	32_K16_short_combined_small.mp4	224	239
sub-control013	33_S21_combined_small.mp4	655	665
sub-control013	34_Trick38_combined_small.mp4	839	852
sub-control013	35_Trick32_long_combined_small.mp4	351	374
sub-control013	36_Trick7_short_combined_small.mp4	106	116
sub-control015	01_H35_combined_small.mp4	214	232
sub-control015	02_H10_combined_small.mp4	909	924
sub-control015	03_H16_combined_small.mp4	303	319
sub-control015	04_S9_combined_small.mp4	620	635
sub-control015	05_K4_combined_small.mp4	783	798
sub-control015	06_H7_combined_small.mp4	75	91
sub-control015	07_K2_combined_small.mp4	508	521
sub-control015	08_S12_combined_small.mp4	440	460
sub-control015	09_S11_combined_small.mp4	162	173
sub-control015	10_S27_combined_small.mp4	337	352
